name,name,approach_date,velocity_km_h
4503 Cleobulus (1989 WM),Cleobulus,1902-07-15,16637.08016196
280244 Ati (2002 WP11),Ati,1912-08-08,16035.11071668
9172 Abhramu (1989 OB),Abhramu,1969-09-10,14773.705774199998
719 Albert (A911 TB),Albert,1909-08-21,12405.704534640001
3671 Dionysus (1984 KD),Dionysus,1930-11-15,11968.34865912
2059 Baboquivari (1963 UA),Baboquivari,1922-11-16,11660.414022
53435 Leonard (1999 VM40),Leonard,1994-06-16,11525.11293492
98943 Torifune (2001 CC21),Torifune,1901-09-13,7199.80798932
154991 Vinciguerra (2005 BX26),Vinciguerra,1909-02-25,6440.77182276
18106 Blume (2000 NX3),Blume,1933-08-10,5361.29075448
8013 Gordonmoore (1990 KA),Gordonmoore,1930-02-06,5008.318469639999
164215 Doloreshill (2004 MF6),Doloreshill,1921-09-07,3510.54962712
